#Energy [keV]              Counts per [keV-s]              Error
283              0.000212464                0.000129911
284              0.00011177                0.00012591
285              0.000104897                0.00012628
286              0.000159721                0.00012641
287              2.65904e-05                0.000123845
288              0.000273894                0.000128087
289              0.000115488                0.000124411
290              0.000226784                0.000124662
291              8.88179e-05                0.000126871
292              0.000255203                0.000128846
293              0.000292718                0.000128126
294              0.000173886                0.000124189
295              0.000208337                0.000130881
296              0.000183327                0.000131351
297              0.000285958                0.000133038
298              0.000190486                0.000128782
299              0.000364153                0.000130839
300              0.000222789                0.000126485
301              0.000355222                0.000130739
302              0.000352068                0.000129656
303              0.000263315                0.000127995
304              0.000376249                0.000130134
305              0.000266766                0.000124891
306              0.000313335                0.000127029
307              0.000207672                0.000126907
308              0.000121243                0.000127306
309              0.000426812                0.000130444
310              0.000182949                0.000125116
311              0.00025465                0.000129485
312              9.15839e-05                0.000123577
313              0.000449904                0.000128395
314              0.000321303                0.0001273
315              3.82871e-05                0.000120578
316              9.06105e-05                0.000125723
317              0.000210018                0.000125101
318              0.000335598                0.000125911
319              0.000304271                0.000126116
320              0.00029645                0.000122706
321              0.000386429                0.000127843
322              0.000238868                0.000125892
323              3.65044e-05                0.000119736
324              -1.66693e-05                0.000119589
325              0.000182138                0.000122135
326              0.000233645                0.000126252
327              -4.19561e-05                0.000120446
328              0.000216756                0.000123904
329              0.000207959                0.000124622
330              -0.000101317                0.000120851
331              0.000161923                0.000125745
332              0.000220465                0.000124375
333              9.98389e-05                0.000121514
334              0.000161126                0.000118703
335              2.00282e-05                0.00011567
336              2.94985e-05                0.00011927
337              -1.72134e-05                0.000118212
338              0.000124993                0.00011774
339              0.000210994                0.000120927
340              4.98354e-05                0.000118439
341              0.000145319                0.000121035
342              0.000327501                0.000122831
343              0.00021127                0.000120585
344              3.89863e-05                0.000116595
345              0.000136799                0.000121432
346              0.000240673                0.000120724
347              -4.6475e-05                0.000116847
348              4.92898e-05                0.000117049
349              1.50818e-05                0.000115705
350              0.000186832                0.000114116
351              0.000197393                0.00012051
352              -8.55032e-05                0.000118515
353              9.56957e-06                0.000120604
354              0.000234065                0.000124779
355              0.000131301                0.000122143
356              -0.000187991                0.000115379
357              -0.000113794                0.000114848
358              0.000159207                0.000116976
359              5.93234e-05                0.000115745
360              1.4812e-05                0.000113921
361              0.00018628                0.000114837
362              -9.779e-06                0.000112834
363              -0.00010856                0.000110068
364              7.05951e-05                0.000113877
365              -3.36776e-05                0.000109693
366              5.47937e-05                0.000114171
367              2.7046e-05                0.000111833
368              -4.77012e-05                0.00011311
369              0.000227212                0.000119107
370              -1.56877e-05                0.000113058
371              0.000184772                0.000113591
372              4.601e-05                0.000110586
373              0.000180917                0.000116471
374              7.56823e-05                0.000112572
375              -7.50322e-05                0.000109067
376              -5.79868e-05                0.000105883
377              0.000263363                0.000113742
378              -2.70824e-05                0.000109643
379              -5.11218e-05                0.00010775
380              0.000270363                0.000116366
381              0.000189167                0.000114279
382              -1.39419e-06                0.000111492
383              -0.000107996                0.000104717
384              0.000107708                0.000108057
385              -8.28595e-05                0.000107421
386              4.13394e-05                0.000110249
387              0.000191233                0.000112637
388              0.000103724                0.000107898
389              6.02833e-06                0.000110327
390              3.95617e-05                0.000107054
391              -6.76038e-05                0.00010557
392              -5.71654e-05                0.000107033
393              -6.70641e-05                0.000109382
394              -7.20045e-05                0.000107147
395              -5.56575e-05                0.000108354
396              9.52039e-05                0.000108342
397              2.8161e-05                0.000105793
398              0.000121579                0.000110393
399              -4.08124e-05                0.000105943
400              -3.49038e-05                0.000105703
401              1.85322e-05                0.000110048
402              6.70336e-05                0.000109871
403              6.99264e-05                0.000107012
404              0.00017901                0.000110336
405              6.26388e-05                0.000109155
406              0.000135737                0.000107843
407              6.82835e-05                0.0001047
408              8.43548e-05                0.000106323
409              0.000114719                0.000106281
410              0.000178471                0.000106558
411              3.94267e-05                0.000106093
